Year,Gebietseinheit,Zimmer,GeoCode,Value
2017,Niedersachsen,,K00,31350
2017,Braunschweig,,K01,4840
2017,Braunschweig-St,,K0101,570
2017,Salzgitter-Stad,,K0102,118
2017,Wolfsburg-Stadt,,K0103,847
2017,Gifhorn,,K0151,831
2017,Goslar,,K0153,92
2017,Goslar-Stadt,,K0153017,18
2017,Goslar (oh. Gos,,K0153900,74
2017,Helmstedt,,K0154,246
2017,Northeim,,K0155,346
2017,Peine,,K0157,677
2017,Peine-Stadt,,K0157006,271
2017,Peine (oh. Pein,,K0157900,406
2017,Wolfenbüttel,,K0158,275
2017,Wolfenbüttel-St,,K0158037,119
2017,Wolfenbüttel (o,,K0158900,156
2017,Göttingen,,K0159,838
2017,Göttingen-Stadt,,K0159016,353
2017,Göttingen (oh.,,K0159900,485
2017,Hannover,,K02,5886
2017,Hannover-Region,,K0241,3593
2017,Hannover-Landes,,K0241001,1394
2017,Garbsen-Stadt,,K0241005,299
2017,Langenhagen-Sta,,K0241010,234
2017,Hann.Reg.(oh.Ha,,K0241900,1666
2017,Diepholz,,K0251,750
2017,Hameln-Pyrmont,,K0252,141
2017,Hameln-Stadt,,K0252006,66
2017,Hameln-Pyrmont,,K0252900,75
2017,Hildesheim,,K0254,594
2017,Hildesheim-Stad,,K0254021,217
2017,Hildesheim(oh.H,,K0254900,377
2017,Holzminden,,K0255,58
2017,Nienburg (Weser,,K0256,345
2017,Schaumburg,,K0257,405
2017,Lüneburg,,K03,7589
2017,Celle,,K0351,654
2017,Celle-Stadt,,K0351006,145
2017,Celle (oh.Celle,,K0351900,509
2017,Cuxhaven,,K0352,760
2017,Cuxhaven-Stadt,,K0352011,181
2017,Cuxhaven (oh. C,,K0352900,579
2017,Harburg,,K0353,1475
2017,Lüchow-Dannenbe,,K0354,158
2017,Lüneburg,,K0355,613
2017,Lüneburg-Hanses,,K0355022,158
2017,Lüneburg (oh. L,,K0355900,455
2017,Osterholz,,K0356,595
2017,Rotenburg (Wümm,,K0357,761
2017,Heidekreis,,K0358,545
2017,Stade,,K0359,1224
2017,Stade-Hansestad,,K0359038,178
2017,Stade (oh.Stade,,K0359900,1046
2017,Uelzen,,K0360,217
2017,Verden,,K0361,587
2017,Weser-Ems,,K04,13035
2017,Delmenhorst-Sta,,K0401,164
2017,Emden-Stadt,,K0402,60
2017,Oldenburg(Oldb),,K0403,1197
2017,Osnabrück-Stadt,,K0404,430
2017,Wilhelmshaven-S,,K0405,82
2017,Ammerland,,K0451,1017
2017,Aurich,,K0452,838
2017,Cloppenburg,,K0453,946
2017,Emsland,,K0454,2265
2017,Lingen (Ems)-St,,K0454032,597
2017,Emsland (oh. Li,,K0454900,1668
2017,Friesland,,K0455,606
2017,Grafschaft Bent,,K0456,744
2017,Nordhorn-Stadt,,K0456015,297
2017,Grfsch.Bentheim,,K0456900,447
2017,Leer,,K0457,829
2017,Oldenburg,,K0458,543
2017,Osnabrück,,K0459,1505
2017,Melle-Stadt,,K0459024,229
2017,Osnabrück (oh.M,,K0459900,1276
2017,Vechta,,K0460,1124
2017,Wesermarsch,,K0461,343
2017,Wittmund,,K0462,342
2017,Niedersachsen,1_Zimmer ,,1107
2017,Braunschweig,1_Zimmer ,,63
2017,Braunschweig-St,1_Zimmer ,,6
2017,Salzgitter-Stad,1_Zimmer ,,0
2017,Wolfsburg-Stadt,1_Zimmer ,,18
2017,Gifhorn,1_Zimmer ,,17
2017,Goslar,1_Zimmer ,,5
2017,Goslar-Stadt,1_Zimmer ,,0
2017,Goslar (oh. Gos,1_Zimmer ,,5
2017,Helmstedt,1_Zimmer ,,1
2017,Northeim,1_Zimmer ,,9
2017,Peine,1_Zimmer ,,5
2017,Peine-Stadt,1_Zimmer ,,4
2017,Peine (oh. Pein,1_Zimmer ,,1
2017,Wolfenbüttel,1_Zimmer ,,0
2017,Wolfenbüttel-St,1_Zimmer ,,1
2017,Wolfenbüttel (o,1_Zimmer ,,1
2017,Göttingen,1_Zimmer ,,38
2017,Göttingen-Stadt,1_Zimmer ,,35
2017,Göttingen (oh.,1_Zimmer ,,3
2017,Hannover,1_Zimmer ,,523
2017,Hannover-Region,1_Zimmer ,,509
2017,Hannover-Landes,1_Zimmer ,,314
2017,Garbsen-Stadt,1_Zimmer ,,169
2017,Langenhagen-Sta,1_Zimmer ,,1
2017,Hann.Reg.(oh.Ha,1_Zimmer ,,27
2017,Diepholz,1_Zimmer ,,3
2017,Hameln-Pyrmont,1_Zimmer ,,0
2017,Hameln-Stadt,1_Zimmer ,,0
